podcast_name,podcast_id,rss_url,feed_name,validation_status,requested_count,actual_count,future,transcript_only,category,apple_id,match_score
99% Invisible,7c2692394516,https://feeds.simplecast.com/BqbsxVfO,99% Invisible,MATCHED,10,PENDING,True,False,Science & Education,394775318,100
Radiolab,c3dbac5165f1,https://feeds.simplecast.com/EmVW7VGp,Radiolab,MATCHED,100,PENDING,True,False,Science & Education,152249110,100
Recipe Club,3905364dbcd9,https://feeds.megaphone.fm/dave-chang-recipe-club,Recipe Club,MATCHED,5,PENDING,True,True,Food,1540003023,100
The Recipe with Kenji and Deb,0c3d4e1a3f5c,https://rss.pdrl.fm/cd4580/feed.therecipepodcast.com/,The Recipe with Kenji and Deb,MATCHED,100,PENDING,True,True,Food,1713169728,100
Animal Spirits Podcast,55ea2c370d70,https://feeds.megaphone.fm/TCP6464651487,Animal Spirits Podcast,MATCHED,10,PENDING,True,True,Other,1310192007,100
Articles of Interest,601541241d85,https://feed.articlesofinterest.club/,Articles of Interest,MATCHED,10,PENDING,True,True,Other,1455169228,100
Asianometry,7497d4028eb1,https://asianometry.passport.online/feed/podcast/MMs7xScDXhCnUAesQqB2Xa,Asianometry,MATCHED,100,PENDING,True,True,Other,,100
Bad Bets,77af4a68ab8a,https://video-api.wsj.com/podcast/rss/wsj/bad-bets?partner=itunes,Bad Bets,MATCHED,10,PENDING,True,True,Other,1588735104,100
Bodega Boys,3d05eb70f9e6,https://feeds.soundcloud.com/users/soundcloud:users:169774121/sounds.rss,Bodega Boys,MATCHED,2,PENDING,True,False,Other,1039621715,100
Channels with Peter Kafka,6b503b5ca407,https://feeds.megaphone.fm/recodemedia,Channels with Peter Kafka,MATCHED,10,PENDING,True,True,Other,1080467174,100
Conversations with Tyler,f7855ca36cff,https://cowenconvos.libsyn.com/rss,Conversations with Tyler,MATCHED,100,PENDING,True,True,Recommended High-Value,983795625,100
Cortex,2776d85b8ea6,https://www.relay.fm/cortex/feed,Cortex,MATCHED,10,PENDING,True,True,Other,1001591696,100
Dithering,1a1c481c839e,https://rss.dithering.passport.online/feed/podcast/MMs7xScDXhCnUAesQqB2Xa,Dithering,MATCHED,100,PENDING,True,True,Other,,100
Dwarkesh Podcast,da9fb3b68707,https://api.substack.com/feed/podcast/69345.rss,Dwarkesh Podcast,MATCHED,100,PENDING,True,True,Other,1790118720,100
EconTalk,81d576f2753f,https://feeds.simplecast.com/wgl4xEgL,EconTalk,MATCHED,10,PENDING,True,True,Recommended High-Value,135066958,100
Exponent,e5c25980d147,https://exponent.fm/feed/,Exponent,MATCHED,10,PENDING,True,True,Other,826420969,100
Greeking Out from National Geographic Kids,d5b5f87518a4,https://feeds.megaphone.fm/ESP4751925729,Greeking Out from National Geographic Kids,MATCHED,100,PENDING,True,False,Other,1483233279,100
Hard Fork,ec25e5ceeba0,https://feeds.simplecast.com/l2i9YnTd,Hard Fork,MATCHED,100,PENDING,True,True,Recommended High-Value,1528594034,100
Hyperfixed,9f9a40e9f7db,https://rss.pdrl.fm/d3cf31/feed.hyperfixedpod.com/,Hyperfixed,MATCHED,100,PENDING,True,False,Other,1762447440,100
Joie de Vivek - A Sacramento Kings Podcast,b0e91da0d172,https://feeds.soundcloud.com/users/soundcloud:users:314185660/sounds.rss,Joie de Vivek - A Sacramento Kings Podcast,MATCHED,1000,PENDING,True,False,Other,1249916130,100
Land of the Giants,5d608ad3b9e7,https://feeds.megaphone.fm/landofthegiants,Land of the Giants,MATCHED,100,PENDING,True,True,Other,1465767420,100
Lenny's Reads,2651abfc284e,https://api.substack.com/feed/podcast/10845/s/215368.rss,Lenny's Reads,MATCHED,10,PENDING,True,True,Other,1810314693,100
Lex Fridman Podcast,e008087d0df1,https://lexfridman.com/feed/podcast/,Lex Fridman Podcast,MATCHED,100,PENDING,True,True,Recommended High-Value,1434243584,100
Odd Lots,f4f82f4c70b5,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/8a94442e-5a74-4fa2-8b8d-ae27003a8d6b/982f5071-765c-403d-969d-ae27003a8d83/podcast.rss,Odd Lots,MATCHED,10,PENDING,True,True,Other,1056200096,100
Revisionist History,f5dd756b3a56,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/0e563f45-9d14-4ce8-8ef0-ae32006cd7e7/0d4cc74d-fff7-4b89-8818-ae32006cd7f0/podcast.rss,Revisionist History: The Alabama Murders,MATCHED,100,PENDING,True,False,Other,1119389968,80
The Big Picture,3dab53c2c760,https://feeds.megaphone.fm/the-big-picture,The Big Picture,MATCHED,10,PENDING,True,True,Other,1439252196,100
The Bill Simmons Podcast,ea211eeaf034,https://feeds.megaphone.fm/the-bill-simmons-podcast,The Bill Simmons Podcast,MATCHED,10,PENDING,True,True,Other,1043699613,100
The Ezra Klein Show,5a325b394e56,https://feeds.simplecast.com/82FI35Px,The Ezra Klein Show,MATCHED,100,PENDING,True,True,Recommended High-Value,1548604447,100
The Knowledge Project with Shane Parrish,5c521d099ee5,https://feeds.megaphone.fm/FSMI7575968096,The Knowledge Project,MATCHED,100,PENDING,True,True,Recommended High-Value,990149481,80
The Layover,251f3905c12a,https://podcasts.watchnebula.com/thelayover/44ede2f43c9b47718cefc92a6a1719c8,The Layover,MATCHED,10,PENDING,True,False,Other,,100
The Watch,9472d5613131,https://feeds.megaphone.fm/the-watch,The Watch,MATCHED,10,PENDING,True,True,Other,1111739567,100
The Journal.,b07eb4266b02,https://video-api.wsj.com/podcast/rss/wsj/the-journal,The Journal.,MATCHED,10,PENDING,True,True,Recommended High-Value,1469394914,100
This American Life,0d09357fe153,https://www.thisamericanlife.org/podcast/rss.xml,This American Life,MATCHED,100,PENDING,True,False,Recommended High-Value,201671138,100
The Moth,ea9a4866ff79,http://feeds.feedburner.com/themothpodcast,The Moth,NEW,0,NEW,False,False,NEW,275699983,100
You Made It Weird with Pete Holmes,ff0ef6c9f57b,http://feeds.feedburner.com/YouMadeItWeird,You Made It Weird with Pete Holmes,NEW,0,NEW,False,False,NEW,475878118,100
BackStory,f9ce834bd5ea,https://audioboom.com/channels/4987698.rss,BackStory,NEW,0,NEW,False,False,NEW,281261324,100
"Death, Sex & Money",9d8aa07cd99e,http://feeds.feedburner.com/deathsexmoney,"Death, Sex & Money",NEW,0,NEW,False,False,NEW,870688022,100
This Week in Virology,4f543098dc06,https://twiv.libsyn.com/twiv,This Week in Virology,NEW,0,NEW,False,False,NEW,1176779065,100
"Amicus With Dahlia Lithwick | Law, justice, and the courts",591b04f2cc32,https://feeds.megaphone.fm/slatesamicuswithdahlialithwick,"Amicus With Dahlia Lithwick | Law, justice, and the courts",NEW,0,NEW,False,False,NEW,928790786,100
Top Four,30cc07342481,https://www.relay.fm/topfour/feed,Top Four,NEW,0,NEW,False,False,NEW,1031275903,100
Explain It to Me,4cf3f77faccf,https://feeds.megaphone.fm/theweeds,Explain It to Me,NEW,0,NEW,False,False,NEW,1042433083,100
Upgrade,72e23af6c0e6,https://www.relay.fm/upgrade/feed,Upgrade,NEW,0,NEW,False,False,NEW,918152703,100
Under the Radar,a10d53c4f800,https://www.relay.fm/radar/feed,Under the Radar,NEW,0,NEW,False,False,NEW,1055685246,100
The Press Box,19c63ae42dc1,https://feeds.megaphone.fm/the-press-box,The Press Box,NEW,0,NEW,False,False,NEW,1058911614,100
Bear Download — A Chicago Bears podcast,1fc657795b4c,https://bearsdownload.libsyn.com/rss,Bear Download — A Chicago Bears podcast,NEW,0,NEW,False,False,NEW,1109013655,100
The Ringer NFL Show,114ba5e83767,https://feeds.megaphone.fm/the-ringer-nfl-show,The Ringer NFL Show,NEW,0,NEW,False,False,NEW,1109282822,100
The Ringer NBA Show,af979fe4fa45,https://feeds.megaphone.fm/the-ringer-nba-show,The Ringer NBA Show,NEW,0,NEW,False,False,NEW,1109271715,100
Ask Me Another,8b005afcea68,https://feeds.npr.org/510299/podcast.xml,Ask Me Another,NEW,0,NEW,False,False,NEW,524978407,100
Invisibilia,8e9b0bfb81b4,https://feeds.npr.org/510307/podcast.xml,Invisibilia,NEW,0,NEW,False,False,NEW,953290300,100
Larry Wilmore: Black on the Air,ca9135c3d8d4,https://feeds.megaphone.fm/larry-wilmore,Larry Wilmore: Black on the Air,NEW,0,NEW,False,False,NEW,1234429850,100
50 Things That Made the Modern Economy,955eb6cb665c,https://podcasts.files.bbci.co.uk/p04b1g3c.rss,50 Things That Made the Modern Economy,NEW,0,NEW,False,False,NEW,1172889381,100
Food News,53b9d40f350e,https://feeds.megaphone.fm/house-of-carbs,Food News,NEW,0,NEW,False,False,NEW,1253110409,100
Making Sense with Sam Harris,3eee7d0e96b0,https://wakingup.libsyn.com/rss,Making Sense with Sam Harris,NEW,0,NEW,False,False,NEW,733163012,100
The Mismatch,bb60149f787c,https://feeds.megaphone.fm/the-jj-redick-podcast,The Mismatch,NEW,0,NEW,False,False,NEW,1317853625,100
CoinTalk™️,45141c16ea93,https://feeds.simplecast.com/yeL_8yPl,CoinTalk™️,NEW,0,NEW,False,False,NEW,1332061471,100
Business Wars,c928db683fe4,https://rss.art19.com/business-wars,Business Wars,NEW,0,NEW,False,False,NEW,1335814741,100
Slow Burn,fd47b065670c,https://feeds.megaphone.fm/watergate,Slow Burn,NEW,0,NEW,False,False,NEW,1315040130,100
Decoder Ring,106e0a226612,https://feeds.megaphone.fm/decoderring,Decoder Ring,NEW,0,NEW,False,False,NEW,1376577202,100
Open to Debate,2ecc239d7862,https://feeds.megaphone.fm/PNP1207584390,Open to Debate,NEW,0,NEW,False,False,NEW,216713308,100
"Big Mood, Little Mood with Daniel M. Lavery",f498391f47d7,https://feeds.megaphone.fm/SM3958815784,"Big Mood, Little Mood with Daniel M. Lavery",NEW,0,NEW,False,False,NEW,1123709737,100
Scholars Strategy Network's No Jargon,680039ed0ba9,https://nojargon.libsyn.com/rss,Scholars Strategy Network's No Jargon,NEW,0,NEW,False,False,NEW,1053581711,100
The Ryen Russillo Podcast,94d95980691a,https://feeds.megaphone.fm/the-ryen-russillo-podcast,The Ryen Russillo Podcast,NEW,0,NEW,False,False,NEW,1433966613,100
Special Sauce with Ed Levine,df6004295f22,https://feed.thespecialsaucepodcast.com,Special Sauce with Ed Levine,NEW,0,NEW,False,False,NEW,1054509922,100
Pivot,4fac5fd1fc43,https://feeds.megaphone.fm/pivot,Pivot,NEW,0,NEW,False,False,NEW,1073226719,100
In the Making,6f4404b35382,https://feeds.simplecast.com/IWd_z6c8,In the Making,NEW,0,NEW,False,False,NEW,1437677219,100
Filmspotting,a8b48846bd47,https://feeds.megaphone.fm/filmspotting,Filmspotting,NEW,0,NEW,False,False,NEW,73330112,100
Future Perfect,33eb29954e76,https://feeds.megaphone.fm/futureperfect,Future Perfect,NEW,0,NEW,False,False,NEW,1438157174,100
Trial by Content,8447dfdeaf3e,https://feeds.megaphone.fm/recappables,Trial by Content,NEW,0,NEW,False,False,NEW,1374669280,100
The Gray Area with Sean Illing,f86e49473902,https://feeds.megaphone.fm/theezrakleinshow,The Gray Area with Sean Illing,NEW,0,NEW,False,False,NEW,1081584611,100
Welcome to LA,d96c3434a680,https://feeds.libsyn.com/575400/rss,Welcome to LA,NEW,0,NEW,False,False,NEW,1382382405,100
Marketplace,e13c1168aef0,https://feeds.publicradio.org/public_feeds/marketplace,Marketplace,NEW,0,NEW,False,False,NEW,201853034,100
Marketplace,618cd540554c,https://www.marketplace.org/feed/podcast/marketplace,Marketplace,NEW,0,NEW,False,False,NEW,,100
Ringer Dish,34babefe777a,https://feeds.megaphone.fm/ringer-dish,Ringer Dish,NEW,0,NEW,False,False,NEW,1465286477,100
This Is Uncomfortable,15a49b38dd31,https://feeds.publicradio.org/public_feeds/this-is-uncomfortable,This Is Uncomfortable,NEW,0,NEW,False,False,NEW,1466681015,100
16 Minutes News by a16z,32f27630f71b,https://feeds.simplecast.com/j9kKMsfH,16 Minutes News by a16z,NEW,0,NEW,False,False,NEW,1474431037,100
BROKEN: Jeffrey Epstein,c777d0076500,https://rss.pdrl.fm/9fdff8/feeds.megaphone.fm/brokenjeffreyepstein,BROKEN: Jeffrey Epstein,NEW,0,NEW,False,False,NEW,1478460758,100
The Lead,ceb29ffc1749,https://rss.art19.com/the-lead,The Lead,NEW,0,NEW,False,False,NEW,1478448344,100
Scam Goddess,73c8b88c6cf3,https://feeds.simplecast.com/4YELvXgu,Scam Goddess,NEW,0,NEW,False,False,NEW,1479455008,100
Hollinger & Duncan NBA Show - NBA Basketball Podcast,a57a4c2b53ad,https://feeds.simplecast.com/58vfNLpd,Hollinger & Duncan NBA Show - NBA Basketball Podcast,NEW,0,NEW,False,False,NEW,1483267868,100
Freakonomics Radio,96d1cabd59ae,https://feeds.simplecast.com/Y8lFbOT4,Freakonomics Radio,NEW,0,NEW,False,False,NEW,354668519,100
You're Wrong About,6360327eb1a0,https://feeds.buzzsprout.com/1112270.rss,You're Wrong About,NEW,0,NEW,False,False,NEW,1380008439,100
The Prof G Pod with Scott Galloway,a8d08932a0c9,https://feeds.megaphone.fm/WWO6655869236,The Prof G Pod with Scott Galloway,NEW,0,NEW,False,False,NEW,1498802610,100
Numbers and Narrative,7c61e5acf788,https://numbersandnarrative.libsyn.com/rss,Numbers and Narrative,NEW,0,NEW,False,False,NEW,961424798,100
"All-In with Chamath, Jason, Sacks & Friedberg",11d7349ea333,https://allinchamathjason.libsyn.com/rss,"All-In with Chamath, Jason, Sacks & Friedberg",NEW,0,NEW,False,False,NEW,1502871393,100
Pop Culture Happy Hour,5f5f0e3502f6,https://feeds.npr.org/510282/podcast.xml,Pop Culture Happy Hour,NEW,0,NEW,False,False,NEW,278974813,100
Throughline,f99bc9e5c21c,https://feeds.npr.org/510333/podcast.xml,Throughline,NEW,0,NEW,False,False,NEW,1451109634,100
The Indicator from Planet Money,fb0a9649566e,https://feeds.npr.org/510325/podcast.xml,The Indicator from Planet Money,NEW,0,NEW,False,False,NEW,1320118593,100
Wait Wait... Don't Tell Me!,677e1ab6d827,https://feeds.npr.org/344098539/podcast.xml,Wait Wait... Don't Tell Me!,NEW,0,NEW,False,False,NEW,121493804,100
Time To Say Goodbye,c0b45e0925af,https://api.substack.com/feed/podcast/38441.rss,Time To Say Goodbye,NEW,0,NEW,False,False,NEW,1507832825,100
Please Clap,e46d6628c585,http://andrewandkerry.com/pleaseclap/feed.xml,Please Clap,NEW,0,NEW,False,False,NEW,,100
Book of Basketball 2.0,1870548cba3b,https://feeds.megaphone.fm/the-book-of-basketball-podcast,Book of Basketball 2.0,NEW,0,NEW,False,False,NEW,1483525141,100
PTI,d9759b7ea3d5,https://feeds.megaphone.fm/ESP7239282233,PTI,NEW,0,NEW,False,False,NEW,147232181,100
Million Bazillion,bd65df3e98a4,https://feeds.publicradio.org/public_feeds/million-bazillion,Million Bazillion,NEW,0,NEW,False,False,NEW,1523486568,100
"""Age of Miracles""",78d1d04f61f7,https://feeds.megaphone.fm/ageofmiracles,"""Age of Miracles""",NEW,0,NEW,False,False,NEW,1527421931,100
Raising Health,3d4833156209,https://feeds.simplecast.com/BXDamaKF,Raising Health,NEW,0,NEW,False,False,NEW,1529318900,100
Chameleon: Dr. Miracle,ebbec64ba956,https://rss.pdrl.fm/5b6e1a/feeds.megaphone.fm/chameleon,Chameleon: Dr. Miracle,NEW,0,NEW,False,False,NEW,1532225667,100
The Athletic Football Show: A show about the NFL,5625d9ea0e35,https://feeds.acast.com/public/shows/681cc905bdc60241406b737f,The Athletic Football Show: A show about the NFL,NEW,0,NEW,False,False,NEW,1528622068,100
Hoge & Jahns: a show about the Chicago Bears,0f649030a5c7,https://feeds.simplecast.com/DxWJevnw,Hoge & Jahns: a show about the Chicago Bears,NEW,0,NEW,False,False,NEW,1027584309,100
Coin Bureau,3665596d7a21,https://feeds.buzzsprout.com/1442614.rss,Coin Bureau,NEW,0,NEW,False,False,NEW,1537590027,100
The Anthropocene Reviewed,a6c7bdd532a4,https://feeds.simplecast.com/p7S4nr_h,The Anthropocene Reviewed,NEW,0,NEW,False,False,NEW,1342003491,100
S-Town,9beb4a41e37a,https://feeds.simplecast.com/CpvnpIaj,S-Town,NEW,0,NEW,False,False,NEW,1212558767,100
Serial,c15475646815,https://feeds.simplecast.com/xl36XBC2,Serial,NEW,0,NEW,False,False,NEW,917918570,100
The Swyx Mixtape,cb4394934bae,https://feeds.transistor.fm/learn-in-podcast,The Swyx Mixtape,NEW,0,NEW,False,False,NEW,1549059398,100
Going Deep with Chad and JT,2b413e4f9025,https://www.omnycontent.com/d/playlist/885ace83-027a-47ad-ad67-aca7002f1df8/bec1e3b0-e0bc-4bfc-a9d2-aca900022915/e2a84fa8-ca61-495c-9da3-aca90002291e/podcast.rss,Going Deep with Chad and JT,NEW,0,NEW,False,False,NEW,1338535686,100
CHGO Chicago Bears Podcast,d8a5a7fc1c81,https://feeds.simplecast.com/oSbdDATR,CHGO Chicago Bears Podcast,NEW,0,NEW,False,False,NEW,1039910852,100
CryptoNews Podcast,64d3db417345,https://feeds.buzzsprout.com/1735660.rss,CryptoNews Podcast,NEW,0,NEW,False,False,NEW,1559291408,100
Not Investment Advice,ffde62e57ccb,https://feeds.acast.com/public/shows/607879ddfbe1eb33d6525119,Not Investment Advice,NEW,0,NEW,False,False,NEW,1563288568,100
Why Is This Happening? The Chris Hayes Podcast,6e99b80384cb,https://podcastfeeds.nbcnews.com/Ftpd36Dg,Why Is This Happening? The Chris Hayes Podcast,NEW,0,NEW,False,False,NEW,1382983397,100
The Lawfare Podcast,11dd4fbf82a8,https://feeds.acast.com/public/shows/60518a52f69aa815d2dba41c,The Lawfare Podcast,NEW,0,NEW,False,False,NEW,498897343,100
Waveform: The MKBHD Podcast,1a11e1289e5a,https://feeds.megaphone.fm/STU4418364045,Waveform: The MKBHD Podcast,NEW,0,NEW,False,False,NEW,1474429475,100
The Full Go with Jason Goff,aa523de66080,https://feeds.megaphone.fm/the-full-go,The Full Go with Jason Goff,NEW,0,NEW,False,False,NEW,1585030374,100
Impolitic with John Heilemann,43c1a69c2dec,https://feeds.megaphone.fm/hell-high-water,Impolitic with John Heilemann,NEW,0,NEW,False,False,NEW,1529346075,100
People I (Mostly) Admire,004af5395344,https://feeds.simplecast.com/rP60Wf24,People I (Mostly) Admire,NEW,0,NEW,False,False,NEW,1525936566,100
Hidden Brain,8f406c0d08d6,https://feeds.simplecast.com/kwWc0lhf,Hidden Brain,NEW,0,NEW,False,False,NEW,1028908750,100
Intelligence Squared,f5b88841081a,https://feeds.megaphone.fm/NSR6363847171,Intelligence Squared,NEW,0,NEW,False,False,NEW,708371900,100
The Sporkful,4b5e69839505,https://feeds.simplecast.com/n91GPFY5,The Sporkful,NEW,0,NEW,False,False,NEW,350709629,100
Christopher Kimball’s Milk Street Radio,edf6d95ec72f,https://publicfeeds.net/f/9135/feed-rss.xml,Christopher Kimball’s Milk Street Radio,NEW,0,NEW,False,False,NEW,1158889592,100
Big Technology Podcast,5b4f0413a25e,https://feeds.megaphone.fm/LI3617121267,Big Technology Podcast,NEW,0,NEW,False,False,NEW,1522960417,100
The Town with Matthew Belloni,32703b4dd53f,https://feeds.megaphone.fm/the-town-with-matthew-belloni,The Town with Matthew Belloni,NEW,0,NEW,False,False,NEW,1612131897,100
The Ringer F1 Show,af10342731a4,https://feeds.megaphone.fm/paddock-pass,The Ringer F1 Show,NEW,0,NEW,False,False,NEW,1613810815,100
SI Media With Jimmy Traina,ce5eda971338,https://feeds.redcircle.com/e3b3fd60-e66c-4564-a045-969f9b0fa72a,SI Media With Jimmy Traina,NEW,0,NEW,False,False,NEW,997819235,100
The Powers That Be: Daily,d9cfc459f4af,https://feeds.megaphone.fm/powers-that-be,The Powers That Be: Daily,NEW,0,NEW,False,False,NEW,1586269186,100
My Year in Mensa,47b739ef881e,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/b940fe2f-2f6a-447a-91b5-ae2e00387257/e02c6837-fce9-4fb1-85f5-ae2e00387265/podcast.rss,My Year in Mensa,NEW,0,NEW,False,False,NEW,1492147103,100
Masters in Business,7c90e8c63a53,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/4e4cd910-40a1-4619-a5f3-ae2b0012ffff/5873a3cb-298f-40bc-b71f-ae2b0013000d/podcast.rss,Masters in Business,NEW,0,NEW,False,False,NEW,730188152,100
The Fifth Column,f87596cce097,https://api.substack.com/feed/podcast/815642.rss,The Fifth Column,NEW,0,NEW,False,False,NEW,356090797,100
The Tony Kornheiser Show,1285283adfe8,https://feeds.megaphone.fm/the-tony-kornheiser-show,The Tony Kornheiser Show,NEW,0,NEW,False,False,NEW,1148650883,100
The Intelligence from The Economist,c4623fee91f9,https://access.acast.com/rss/d556eb54-6160-4c85-95f4-47d9f5216c49,The Intelligence from The Economist,NEW,0,NEW,False,False,NEW,1449631195,100
Fantasy Football Happy Hour with Matthew Berry,9afeff61ade5,https://feeds.simplecast.com/8PBMLPBg,Fantasy Football Happy Hour with Matthew Berry,NEW,0,NEW,False,False,NEW,1640280106,100
On with Kara Swisher,8ce3656bf933,https://feeds.megaphone.fm/VMP1684715893,On with Kara Swisher,NEW,0,NEW,False,False,NEW,1643307527,100
Song Exploder,5161a5b10248,https://feed.songexploder.net/SongExploder,Song Exploder,NEW,0,NEW,False,False,NEW,788236947,100
FRONTLINE: Film Audio Track | PBS,e2df18a3d782,https://feeds.feedburner.com/FrontlineAudiocastPbs,FRONTLINE: Film Audio Track | PBS,NEW,0,NEW,False,False,NEW,336934080,100
the memory palace,739624f194ce,http://feeds.thememorypalace.us/thememorypalace,the memory palace,NEW,0,NEW,False,False,NEW,299436963,100
Benjamen Walker's Theory of Everything,f2f7e4ecd48f,https://feeds.feedburner.com/TOE,Benjamen Walker's Theory of Everything,NEW,0,NEW,False,False,NEW,646537599,100
The Citizen Stewart Show,1535bcc9b04f,https://feeds.megaphone.fm/LDI7859309966,The Citizen Stewart Show,NEW,0,NEW,False,False,NEW,1650997109,100
Sharp China with Sinocism’s Bill Bishop,62bbc2744f1b,https://sharpchina.fm/feed/podcast/MMs7xScDXhCnUAesQqB2Xa,Sharp China with Sinocism’s Bill Bishop,NEW,0,NEW,False,False,NEW,,100
"All the Hacks: Money, Points & Life",881601d21629,https://feeds.megaphone.fm/ATHLLC4474951365,"All the Hacks: Money, Points & Life",NEW,0,NEW,False,False,NEW,1560751222,100
"""The Cognitive Revolution"" | AI Builders, Researchers, and Live Player Analysis",6648cc69d031,https://feeds.megaphone.fm/RINTP3108857801,"""The Cognitive Revolution"" | AI Builders, Researchers, and Live Player Analysis",NEW,0,NEW,False,False,NEW,1669813431,100
P1 with Matt and Tommy,68affd6dd5d1,https://feeds.acast.com/public/shows/63e24225436c36001119fc66,P1 with Matt and Tommy,NEW,0,NEW,False,False,NEW,1670705840,100
The Coldest Case In Laramie,85390d5fa5fe,https://feeds.simplecast.com/wHqls8d1,The Coldest Case In Laramie,NEW,0,NEW,False,False,NEW,1664273280,100
Normal Gossip,69c46a2febab,https://publicfeeds.net/f/3492/feed-rss.xml,Normal Gossip,NEW,0,NEW,False,False,NEW,1597761181,100
The Urbanist Agenda,1f22d5de0f0e,https://rss.art19.com/the-urbanist-agenda,The Urbanist Agenda,NEW,0,NEW,False,False,NEW,1678391788,100
Invest Like the Best with Patrick O'Shaughnessy,526446d2706e,https://feeds.megaphone.fm/CLS2859450455,Invest Like the Best with Patrick O'Shaughnessy,NEW,0,NEW,False,False,NEW,1154105909,100
Wisdom of Crowds,8b1f81a13cee,https://api.substack.com/feed/podcast/52255.rss,Wisdom of Crowds,NEW,0,NEW,False,False,NEW,1475204845,100
Spellcaster: The Fall of Sam Bankman-Fried,4a0e01b2976a,https://rss.art19.com/spellcaster,Spellcaster: The Fall of Sam Bankman-Fried,NEW,0,NEW,False,False,NEW,1685258534,100
"80,000 Hours Podcast",cf2f059a0ac9,https://feeds.transistor.fm/80000-hours-podcast,"80,000 Hours Podcast",NEW,0,NEW,False,False,NEW,1245002988,100
Search Engine,5a4da261231f,https://feeds.megaphone.fm/search-engine,Search Engine,NEW,0,NEW,False,False,NEW,1614253637,100
